,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
128,Tajikistan,2.8890000000000002,TJK,9321018.0,12167.0,101.498466491699,102.626411437988,31.2565593719482,890.544402355733,0.370710795752138,220,Tajikistan,762,Central Asia,,Asia,269.0,1.020624389648435,5878.0,135.0
129,Thailand,10.724,THA,69625582.0,485146.0,102.225120544434,120.651168823242,52.2556991577148,7814.38443127242,0.168235362111587,221,Thailand,764,South-eastern Asia,,Asia,7467.0,1.1143814468383801,21755.0,765.0
130,Timor-Leste,3.144,TLS,1293119.0,8146.0,128.213912963867,86.535270690918,17.7537307739258,1583.71357646622,0.372920821672251,222,Timor-Leste,626,South-eastern Asia,,Asia,41.0,1.0737459182739248,863.0,11.0
131,Togo,0.782,TGO,8082366.0,18063.0,128.044006347656,61.8457298278809,15.4000701904297,893.352454121675,0.409983536998943,223,Togo,768,Western Africa,Sub-Saharan Africa,Africa,63.0,0.9494486808776844,5244.0,64.0
132,Tonga,21.624,TON,104494.0,558.0,127.145050048828,119.319389343262,18.400239944458,4903.01213835449,0.35072827147970204,225,Tonga,776,Polynesia,,Oceania,23.0,1.23232219696045,75.0,1.0
133,Tunisia,0.20400000000000001,TUN,11694719.0,101827.0,116.110450744629,92.8657989501953,35.8771781921387,3571.94504797154,0.24226097266638,227,Tunisia,788,Northern Africa,,Africa,24.0,1.0448812484741214,4934.0,127.0
134,Uganda,2.3979999999999997,UGA,44269594.0,121574.0,138.27522277832,24.6403293609619,5.22475004196167,798.585734133959,0.465000153378411,232,Uganda,800,Eastern Africa,Sub-Saharan Africa,Africa,1062.0,0.8145777606964094,27947.0,134.0
135,Ukraine,6.93,UKR,44385155.0,235803.0,124.920753479004,104.312782287598,82.6711807250977,3661.45629882813,0.15939718374734102,233,Ukraine,804,Eastern Europe,,Europe,3076.0,1.1461676788330102,13515.0,731.0
136,United Arab Emirates,7.144,ARE,9770529.0,149020.0,115.351676940918,104.947929382324,53.7160186767578,42701.4430454782,0.147126117736307,234,United Arab Emirates,784,Western Asia,,Asia,698.0,1.1014980316162102,2639.0,97.0
137,United Republic of Tanzania,0.492,TZA,58005463.0,54552.0,112.415512084961,31.6497497558594,7.83071994781494,1085.88488769531,0.438438065738739,236,United Republic of Tanzania,834,Eastern Africa,Sub-Saharan Africa,Africa,285.0,0.720326309204102,30532.0,249.0
138,United States of America,105.027,USA,328239523.0,0.0,106.033233642578,100.063430786133,88.8894119262695,65094.7994287929,0.18549317124560002,238,United States of America,840,Northern America,,North America,344740.0,1.030483322143555,104570.0,6765.0
139,Uruguay,14.134,URY,3461734.0,44744.0,122.40852355957,123.00382232666,65.1568603515625,17688.01500769,0.204580710129663,240,Uruguay,858,South America,Latin America and the Caribbean,South America,489.0,1.22706172943115,1448.0,58.0
140,Uzbekistan,11.916,UZB,33580650.0,273402.0,116.85791015625,108.649291992188,17.4950504302979,1784.00981608195,0.28797813309653103,241,Uzbekistan,860,Central Asia,,Asia,4001.0,1.1275360107421901,18173.0,211.0
141,Vanuatu,6.047000000000001,VUT,299882.0,851.0,125.112762451172,59.5326995849609,4.78277015686035,3122.98259856381,0.387105594867314,242,Vanuatu,548,Melanesia,,Oceania,18.0,0.9232273101806645,179.0,1.0
142,Yemen,0.9890000000000001,YEM,29161922.0,0.0,98.1731033325195,51.580680847168,11.3441696166992,750.554583376727,0.392233749202127,247,Yemen,887,Western Asia,,Asia,288.0,0.7487689208984375,14274.0,162.0
143,Zambia,1.535,ZMB,17861030.0,85549.0,115.290069580078,20.3650093078613,4.168869972229,1305.00103080403,0.44462508601127704,248,Zambia,894,Eastern Africa,Sub-Saharan Africa,Africa,274.0,0.6782753944396964,8977.0,41.0
144,Zimbabwe,4.272000000000001,ZWE,14645468.0,117546.0,121.776466369629,52.4056701660156,10.0065498352051,1316.74065692871,0.421581270055692,249,Zimbabwe,716,Eastern Africa,Sub-Saharan Africa,Africa,626.0,0.8709106826782229,8962.0,77.0
