,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
69,Japan,107.03700000000002,JPN,126264931.0,212872.0,101.149032592773,99.8455429077148,46.226261138916,40458.0018755824,0.12573031022526102,116,Japan,392,Eastern Asia,,Asia,135150.0,1.004972877502439,26590.0,917.0
70,Jordan,5.906000000000001,JOR,10101694.0,33782.0,109.585906982422,85.9046630859375,41.8267211914063,4405.48710929391,0.33562242134834,118,Jordan,400,Western Asia,,Asia,597.0,0.9774528503417974,5523.0,177.0
71,Kenya,0.184,KEN,52573973.0,173236.0,118.171272277832,56.760368347168,11.4647102355957,1909.30453654793,0.391933742576388,120,Kenya,404,Eastern Africa,Sub-Saharan Africa,Africa,97.0,0.874658203125,30038.0,295.0
72,Kiribati,3.559,KIR,117606.0,22.0,140.026306152344,89.0279693603516,0.0,1512.95276955828,0.358383075693417,121,Kiribati,296,Micronesia,,Oceania,4.0,1.145271377563478,80.0,0.0
73,Kyrgyzstan,9.462000000000002,KGZ,6456900.0,20949.0,125.196876525879,110.939331054688,47.482349395752,1374.03210467421,0.325016950209247,123,Kyrgyzstan,417,Central Asia,,Asia,611.0,1.180681037902835,4130.0,125.0
74,Latvia,32.821,LVA,1912789.0,105002.0,119.234657287598,114.776809692383,94.8645324707031,17926.841589919,0.16307756210459398,125,Latvia,428,Northern Europe,,Europe,628.0,1.1700573348999048,608.0,37.0
75,Lebanon,8.989,LBN,6855713.0,0.0,135.934341430664,68.2569580078125,32.5036201477051,7527.44305969499,0.255722198405913,126,Lebanon,422,Western Asia,,Asia,616.0,1.0209564971923826,2983.0,71.0
76,Liberia,7.844999999999999,LBR,4937374.0,359.0,116.304298400879,46.3552589416504,19.6551303863525,672.340499220841,0.40752918454222803,128,Liberia,430,Western Africa,Sub-Saharan Africa,Africa,387.0,0.8132977867126471,2727.0,49.0
77,Lithuania,84.075,LTU,2786844.0,63914.0,104.265342712402,108.994407653809,89.2521667480469,19575.768481407,0.151354512765674,131,Lithuania,440,Northern Europe,,Europe,2343.0,1.066298751831055,750.0,47.0
78,Luxembourg,17.821,LUX,619896.0,44635.0,116.257881164551,104.695388793945,19.776309967041,113218.713349678,0.157072348387034,132,Luxembourg,442,Western Europe,,Europe,110.0,1.10476634979248,179.0,2.0
79,Madagascar,0.484,MDG,26969307.0,8457.0,149.307495117188,38.512020111084,5.5272102355957,526.224572187601,0.403668399784985,133,Madagascar,450,Eastern Africa,Sub-Saharan Africa,Africa,131.0,0.93909757614136,17039.0,75.0
80,Malaysia,8.915,MYS,31949777.0,439603.0,105.291603088379,85.4490814208984,46.7621002197266,11432.8260346567,0.236949791543146,135,Malaysia,458,South-eastern Asia,,Asia,2848.0,0.953703422546387,12033.0,443.0
81,Maldives,5.019,MDV,530953.0,9761.0,146.895889282227,85.2781372070313,34.121940612793,10561.6135113508,0.199096718541942,136,Maldives,462,Southern Asia,,Asia,27.0,1.1608701324462916,205.0,5.0
82,Mali,0.132,MLI,19658031.0,20177.0,84.1955490112305,44.0181694030762,7.06070995330811,879.043167526284,0.473046969963574,137,Mali,466,Western Africa,Sub-Saharan Africa,Africa,26.0,0.6410685920715334,9936.0,82.0
83,Mauritania,0.42999999999999994,MRT,4525696.0,3075.0,104.511032104492,39.4089698791504,5.87461996078491,1743.30131716071,0.398889143238963,141,Mauritania,478,Western Africa,Sub-Saharan Africa,Africa,19.0,0.719600009918212,2165.0,13.0
84,Mauritius,3.891,MUS,1265711.0,66627.0,114.66007232666,99.9038467407227,44.391529083252,11097.168977137,0.172597088372708,142,Mauritius,480,Eastern Africa,Sub-Saharan Africa,Africa,49.0,1.0728195953369135,391.0,12.0
85,Mexico,6.4350000000000005,MEX,127575529.0,527922.0,122.657852172852,105.103363037109,42.8306999206543,9950.2176218348,0.261851181506761,144,Mexico,484,Central America,Latin America and the Caribbean,North America,8209.0,1.1388060760498049,63405.0,1788.0
86,Mongolia,8.432000000000002,MNG,3225167.0,106866.0,125.748039245605,97.6166534423828,68.7535171508789,4404.84583020208,0.30798281143271,147,Mongolia,496,Eastern Asia,,Asia,272.0,1.116823463439939,1849.0,85.0
87,Montenegro,27.699,MNE,622137.0,29579.0,121.904640197754,100.354598999023,58.185619354248,8909.89015110329,0.181502164853731,148,Montenegro,499,Southern Europe,,Europe,172.0,1.111296195983885,209.0,8.0
88,Morocco,4.511,MAR,36471769.0,365511.0,115.152671813965,82.454231262207,40.6220817565918,3235.00073242188,0.269695171627129,150,Morocco,504,Northern Africa,,Africa,1645.0,0.98803451538086,16198.0,499.0
89,Mozambique,0.453,MOZ,30366036.0,24848.0,118.419631958008,35.4067192077637,7.31255006790161,506.817139131225,0.44368000485805903,151,Mozambique,508,Eastern Africa,Sub-Saharan Africa,Africa,138.0,0.7691317558288585,17271.0,123.0
90,Myanmar,0.7180000000000001,MMR,54045420.0,44712.0,112.306671142578,68.4368209838867,18.8159408569336,1271.11153579726,0.259144012573128,152,Myanmar,104,South-eastern Asia,,Asia,388.0,0.9037174606323235,21095.0,329.0
91,Namibia,2.927,NAM,2494530.0,11838.0,124.248390197754,65.7791366577148,24.1016006469727,5028.29534239511,0.369059101313674,153,Namibia,516,Southern Africa,Sub-Saharan Africa,Africa,73.0,0.950137634277344,1458.0,28.0
92,Nepal,1.437,NPL,28608710.0,148754.0,149.956756591797,85.5214920043945,17.1117706298828,1194.95723579184,0.295703755954043,155,Nepal,524,Southern Asia,,Asia,411.0,1.1773912429809574,16601.0,181.0
93,Netherlands,144.334,NLD,17332850.0,164635.0,108.443801879883,140.690490722656,87.0978469848633,52476.2732533327,0.15883496235918002,156,Netherlands,528,Western Europe,,Europe,25017.0,1.245671463012695,5716.0,300.0
94,New Zealand,103.672,NZL,4917000.0,474420.0,110.556640625,124.660209655762,82.9830322265625,42865.233643554,0.195666040777636,158,New Zealand,554,Australia and New Zealand,,Oceania,5098.0,1.1760842514038101,1886.0,100.0
95,Nicaragua,6.051,NIC,6545502.0,0.0,123.807006835938,73.4324188232422,21.3291130065918,1924.4718155705,0.298548529967602,159,Nicaragua,558,Central America,Latin America and the Caribbean,North America,396.0,0.986197128295901,3212.0,52.0
96,Niger,0.187,NER,23310715.0,2452.0,74.736198425293,24.2537498474121,4.4143500328064,554.099389259855,0.498421691483938,160,Niger,562,Western Africa,Sub-Saharan Africa,Africa,44.0,0.4949497413635255,9584.0,64.0
97,Norway,121.56200000000001,NOR,5347896.0,255658.0,103.894821166992,124.664772033691,83.2306900024414,75719.7528965342,0.174129745408736,166,Norway,578,Northern Europe,,Europe,6501.0,1.1427979660034149,1774.0,97.0
98,Oman,5.523999999999999,OMN,4974986.0,51031.0,109.695388793945,107.582679748535,45.4800796508789,17700.7034900714,0.224183947452314,167,Oman,512,Western Asia,,Asia,275.0,1.0863903427124,2019.0,63.0
99,Panama,24.035,PAN,4246439.0,170525.0,115.630088806152,81.9328918457031,47.7993583679199,15774.2549523836,0.267791201051045,170,Panama,591,Central America,Latin America and the Caribbean,North America,1021.0,0.9878149032592755,1872.0,68.0
100,Peru,18.45,PER,32510453.0,711250.0,120.98461151123,110.584922790527,71.1329879760742,7023.07752627143,0.25254495838615404,173,Peru,604,South America,Latin America and the Caribbean,South America,5998.0,1.157847671508785,15844.0,730.0
